"LANGUAGE,""NAME"",""VERSION"",""LICENSES"",""COPYRIGHTS"",""URL"""
"java,""aopalliance:aopalliance"",""1.0"",""PUBDOM"","""",""https://mvnrepository.com/artifact/aopalliance/aopalliance"""
"java,""apisanfse-common"",""--"",""Apache-2.0"","""","""""
"java,""asm:asm"",""3.3.1"",""BSD-3-Clause-INRIA,BSD"","""",""https://mvnrepository.com/artifact/asm/asm"""
"java,""cglib:cglib"",""2.2.2"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/cglib/cglib"""
"java,""classes12"",""10.1.0.2.0"",""ORCL.OTN"","""","""""
"java,""commons-beanutils:commons-beanutils"",""1.8.3"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/commons-beanutils/commons-beanutils"""
"java,""commons-beanutils:commons-beanutils-bean-collections"",""1.8.3"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/commons-beanutils/commons-beanutils-bean-collections"""
"java,""commons-beanutils:commons-beanutils-core"",""1.8.3"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/commons-beanutils/commons-beanutils-core"""
"java,""commons-jxpath:commons-jxpath"",""--"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/commons-jxpath/commons-jxpath"""
"java,""commons-lang:commons-lang"",""2.5"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/commons-lang/commons-lang"""
"java,""commons-logging:commons-logging"",""1.1.1"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/commons-logging/commons-logging"""
"java,""concurrent"",""1.3.4"",""PUBDOM"","""","""""
"java,""cxf-common-utilities"",""2.4.6"",""Apache-2.0"","""","""""
"java,""cxf-rt-bindings-http"",""2.4.6"",""Apache-2.0"","""","""""
"java,""cxf-rt-bindings-object"",""2.4.6"",""Apache-2.0"","""","""""
"java,""cxf-rt-transports-common"",""2.4.6"",""Apache-2.0"","""","""""
"java,""dmacc"",""6.0.0"",""Apache-2.0"","""","""""
"java,""dmadd"",""6.0.0"",""Apache-2.0"","""","""""
"java,""jcs:jcs"",""1.3"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/jcs/jcs"""
"java,""log4j:log4j"",""1.2.14"",""Apache-2.0"","""",""https://mvnrepository.com/artifact/log4j/log4j"""
